s.no,latitude,longitude,kelp_biomass_kg_2025,kelp_biomass_kg_past_2015,Temperature ,Salinity level,Ocean Current ,Composite Score 
0,37.47271343,-122.4821456,0,635,13.08,34.178,0.174,0.6264
1,37.47217114,-122.4818101,0,332,12.059,33.435,0.17,0.5858
2,37.47244154,-122.4818082,0,693,19.105,33.417,0.229,0.7519
3,37.47271194,-122.4818064,0,317,19.156,34.639,0.197,0.7675
4,37.47216965,-122.4814708,0,273,10.428,34.57,0.166,0.5808
5,37.47244005,-122.481469,0,317,13.907,34.302,0.236,0.6763
6,37.1161826,-122.3478239,0,391,11.691,33.104,0.184,0.5775
7,37.10124068,-122.3354604,125,0,21.308,34.072,0.172,0.7607
8,37.11359918,-122.3211704,113,0,13.109,35.246,0.148,0.6207
9,37.11386959,-122.321168,160,0,10.902,35.559,0.124,0.5655
10,37.11305643,-122.3208376,0,347,16.462,32.849,0.091,0.6173
11,37.11413807,-122.3208279,399,0,16.743,34.945,0.204,0.6617
12,37.11413613,-122.3204903,864,0,18.222,35.798,0.252,0.6546
13,37.11440654,-122.3204879,1011,0,13.238,34.516,0.171,0.4597
14,37.11467695,-122.3204855,893,0,12.726,34.128,0.206,0.4778
15,37.11494736,-122.320483,746,0,15.527,35.907,0.204,0.6016
16,37.1141342,-122.3201526,750,0,17.88,35.118,0.224,0.6369
17,37.1144046,-122.3201502,1478,0,17.384,36.553,0.205,0.526
18,37.11467501,-122.3201478,1584,0,13.129,35.653,0.218,0.4088
19,37.11494542,-122.3201454,1290,0,8.74,34.542,0.198,0.3373
20,37.11169858,-122.3198368,430,0,13.054,34.881,0.186,0.5742
21,37.11196899,-122.3198343,524,0,15.348,36.84,0.096,0.6063
22,37.1122394,-122.3198319,501,0,16.766,34.834,0.231,0.6551
23,37.11250981,-122.3198295,512,0,17.193,35.132,0.187,0.6472
24,37.11278022,-122.3198271,418,0,20.447,35.185,0.192,0.7306
25,37.11386185,-122.3198174,230,0,14.062,35.309,0.179,0.6359
