,s.no,latitude,longitude,kelp_biomass_kg_2025,kelp_biomass_kg_past_2015,Temperature ,Salinity level,Ocean Current ,compass_score
0,0,37.47271343,-122.4821456,0,635,13.08,34.178,0.174,0.6263
1,1,37.47217114,-122.4818101,0,332,12.059,33.435,0.17,0.5859
2,2,37.47244154,-122.4818082,0,693,19.105,33.417,0.229,0.752
3,3,37.47271194,-122.4818064,0,317,19.156,34.639,0.197,0.7675
4,4,37.47216965,-122.4814708,0,273,10.428,34.57,0.166,0.5806
5,5,37.47244005,-122.481469,0,317,13.907,34.302,0.236,0.6765
6,6,37.1161826,-122.3478239,0,391,11.691,33.104,0.184,0.5775
7,7,37.10124068,-122.3354604,125,0,21.308,34.072,0.172,0.4327
8,8,37.11359918,-122.3211704,113,0,13.109,35.246,0.148,0.2906
9,9,37.11386959,-122.321168,160,0,10.902,35.559,0.124,0.2435
10,10,37.11305643,-122.3208376,0,347,16.462,32.849,0.091,0.6174
11,11,37.11413807,-122.3208279,399,0,16.743,34.945,0.204,0.3817
12,12,37.11413613,-122.3204903,864,0,18.222,35.798,0.252,0.4558
13,13,37.11440654,-122.3204879,1011,0,13.238,34.516,0.171,0.2864
14,14,37.11467695,-122.3204855,893,0,12.726,34.128,0.206,0.2842
15,15,37.11494736,-122.320483,746,0,15.527,35.907,0.204,0.3821
16,16,37.1141342,-122.3201526,750,0,17.88,35.118,0.224,0.4182
17,17,37.1144046,-122.3201502,1478,0,17.384,36.553,0.205,0.4349
18,18,37.11467501,-122.3201478,1584,0,13.129,35.653,0.218,0.3362
19,19,37.11494542,-122.3201454,1290,0,8.74,34.542,0.198,0.213
20,20,37.11169858,-122.3198368,430,0,13.054,34.881,0.186,0.2994
21,21,37.11196899,-122.3198343,524,0,15.348,36.84,0.096,0.348
22,22,37.1122394,-122.3198319,501,0,16.766,34.834,0.231,0.3929
23,23,37.11250981,-122.3198295,512,0,17.193,35.132,0.187,0.3867
24,24,37.11278022,-122.3198271,418,0,20.447,35.185,0.192,0.4538
25,25,37.11386185,-122.3198174,230,0,14.062,35.309,0.179,0.3262
26,26,37.11413226,-122.319815,1203,0,13.637,34.46,0.248,0.3312
27,27,37.11440267,-122.3198126,1091,0,16.008,34.497,0.228,0.3682
28,28,37.11467308,-122.3198102,1537,0,14.141,33.39,0.155,0.2678
29,29,37.11494348,-122.3198077,1407,0,14.445,34.13,0.169,0.2992
30,30,37.11142624,-122.3195015,371,0,10.697,35.15,0.109,0.2218
31,31,37.11169664,-122.3194991,418,0,13.734,33.112,0.156,0.2534
32,32,37.11196705,-122.3194967,454,0,12.485,33.148,0.26,0.282
33,33,37.1133191,-122.3194846,583,0,12.861,33.031,0.168,0.2404
34,34,37.1135895,-122.3194822,595,0,16.497,34.806,0.194,0.3685
35,35,37.11385991,-122.3194798,512,0,12.72,34.284,0.255,0.3125
36,36,37.11413032,-122.3194773,582,0,11.476,35.822,0.155,0.2768
37,37,37.11440073,-122.3194749,729,0,19.447,34.591,0.126,0.3865
38,38,37.11467114,-122.3194725,743,0,13.727,34.521,0.221,0.321
39,39,37.11494155,-122.3194701,1002,0,13.906,34.967,0.184,0.3171
40,40,37.11304675,-122.3191494,442,0,12.837,33.946,0.293,0.3253
41,41,37.11331716,-122.319147,548,0,11.896,34.833,0.195,0.2802
42,42,37.11358757,-122.3191445,172,0,11.849,34.276,0.249,0.2924
43,43,37.11248064,-122.3147649,0,450,14.957,35.116,0.168,0.6833
44,44,37.10895752,-122.313446,0,347,10.948,34.37,0.221,0.6132
45,45,37.10922793,-122.3134436,0,494,15.52,32.744,0.22,0.6609
46,46,37.10949834,-122.3134411,0,552,13.773,33.804,0.231,0.659
47,47,37.10976875,-122.3134387,0,420,16.569,35.511,0.196,0.7385
48,48,37.11193201,-122.3134192,0,361,15.854,36.27,0.271,0.7811
49,49,37.10895557,-122.3131084,0,361,8.512,34.171,0.221,0.5608
50,50,37.10922598,-122.3131059,0,479,17.284,31.874,0.159,0.643
51,51,37.10949638,-122.3131035,0,508,19.061,32.9,0.153,0.7002
52,52,37.10976679,-122.3131011,0,582,12.643,33.787,0.144,0.5931
53,53,37.1100372,-122.3130986,0,435,12.192,35.734,0.151,0.6365
54,54,37.11030761,-122.3130962,0,230,12.143,33.727,0.241,0.6303
55,55,37.11193006,-122.3130815,0,259,12.164,35.063,0.236,0.6617
56,56,37.11301169,-122.3130718,0,277,7.171,36.237,0.19,0.5709
57,57,37.1132821,-122.3130693,0,313,18.402,35.424,0.18,0.764
58,58,37.11355251,-122.3130669,0,391,17.98,34.414,0.134,0.7075
59,59,37.10922402,-122.3127683,0,303,14.311,34.327,0.281,0.7075
60,60,37.10949443,-122.3127659,0,288,15.014,35.388,0.265,0.7397
61,61,37.11003524,-122.312761,0,336,14.357,34.241,0.161,0.6462
62,62,37.11030565,-122.3127585,0,477,14.409,35.981,0.158,0.6893
63,63,37.11300973,-122.3127341,0,313,18.761,32.889,0.251,0.7431
64,64,37.11328014,-122.3127317,0,383,10.395,33.642,0.185,0.5662
65,65,37.11355055,-122.3127292,0,303,11.704,33.8,0.191,0.5986
66,66,37.11030369,-122.3124209,0,230,16.105,35.42,0.227,0.7427
67,67,37.1105741,-122.3124185,0,348,16.743,35.153,0.155,0.7124
68,68,37.11084451,-122.312416,0,376,12.635,34.232,0.204,0.634
69,69,37.11111492,-122.3124136,0,347,18.225,35.583,0.275,0.812
70,70,37.11165574,-122.3124087,0,254,12.635,36.232,0.175,0.6695
71,71,37.11192614,-122.3124062,0,405,15.061,34.549,0.233,0.7036
72,72,37.11219655,-122.3124038,0,313,18.467,35.531,0.122,0.7389
73,73,37.11246696,-122.3124014,0,288,15.309,34.446,0.166,0.6724
74,74,37.11327819,-122.312394,0,288,13.01,34.95,0.233,0.6738
75,75,37.11354859,-122.3123916,0,361,10.727,32.645,0.202,0.5563
76,76,37.11030174,-122.3120833,0,405,13.02,33.921,0.164,0.6137
77,77,37.11057214,-122.3120808,0,324,12.448,34.722,0.25,0.6656
78,78,37.11084255,-122.3120784,0,552,16.647,35.716,0.226,0.7601
79,79,37.11111296,-122.3120759,0,552,14.657,34.385,0.179,0.6647
80,80,37.11138337,-122.3120735,0,435,23.778,34.423,0.3,0.8981
81,81,37.11165378,-122.312071,0,313,15.508,36.628,0.218,0.7568
82,82,37.11192419,-122.3120686,0,391,11.871,34.353,0.248,0.6442
83,83,37.11219459,-122.3120662,0,464,13.745,35.837,0.158,0.6727
84,84,37.112465,-122.3120637,0,450,22.804,36.239,0.309,0.9344
85,85,37.11273541,-122.3120613,0,435,6.886,33.664,0.162,0.487
86,86,37.11300582,-122.3120588,0,435,14.361,34.61,0.229,0.6895
87,87,37.11327623,-122.3120564,0,273,19.168,33.877,0.268,0.7842
88,88,37.11354663,-122.3120539,0,361,15.851,32.803,0.199,0.6583
89,89,37.11057018,-122.3117432,0,336,11.433,32.877,0.135,0.5423
90,90,37.11084059,-122.3117408,0,494,13.481,37.413,0.154,0.705
91,91,37.111111,-122.3117383,0,494,14.934,35.583,0.3,0.7605
92,92,37.11138141,-122.3117359,0,420,18.222,34.964,0.239,0.7785
93,93,37.11165182,-122.3117334,0,254,13.918,36.427,0.236,0.7299
94,94,37.11273345,-122.3117236,0,273,14.702,36.294,0.224,0.7358
95,95,37.11300386,-122.3117212,0,391,16.5,35.172,0.279,0.7702
96,96,37.11327427,-122.3117187,0,347,15.244,33.281,0.205,0.6615
97,97,37.11056822,-122.3114056,0,259,12.108,34.931,0.255,0.6668
98,98,37.11083863,-122.3114031,0,347,23.248,34.765,0.196,0.8497
99,99,37.11110904,-122.3114007,0,332,15.359,35.085,0.095,0.6538
100,100,37.1121572,-122.305651,0,273,11.168,32.563,0.233,0.5783
101,101,37.10999196,-122.3053331,0,361,15.708,36.569,0.294,0.7972
102,102,37.11188481,-122.3053158,0,229,18.309,33.28,0.168,0.7026
103,103,37.11215522,-122.3053133,0,317,12.168,34.605,0.133,0.5988
104,104,37.11242563,-122.3053109,0,273,9.013,34.026,0.224,0.5685
105,105,37.10971957,-122.3049979,0,229,13.514,32.421,0.236,0.6219
106,106,37.10998998,-122.3049955,0,195,13.971,36.344,0.228,0.7248
107,107,37.11161243,-122.3049806,0,303,14.778,34.454,0.184,0.6713
108,108,37.11188283,-122.3049782,0,391,12.708,33.804,0.206,0.6258
109,109,37.11215324,-122.3049757,0,420,12.237,35.061,0.131,0.6105
110,110,37.11242365,-122.3049732,0,347,10.567,35.354,0.286,0.6629
111,111,37.11025841,-122.3046554,0,254,14.775,34.507,0.215,0.688
112,112,37.11052881,-122.3046529,0,324,16.078,34.343,0.145,0.6743
113,113,37.11079922,-122.3046504,0,450,12.602,33.696,0.218,0.627
114,114,37.11106963,-122.3046479,0,508,18.437,34.711,0.2,0.7568
115,115,37.11134004,-122.3046455,0,420,11.528,35.695,0.189,0.6416
116,116,37.11161045,-122.304643,0,450,14.163,33.041,0.124,0.594
117,117,37.11188085,-122.3046405,0,435,17.253,34.455,0.115,0.6849
118,118,37.11215126,-122.304638,0,361,16.369,34.471,0.269,0.7451
119,119,37.11242167,-122.3046356,0,303,14.076,34.144,0.261,0.6884
120,120,37.11052683,-122.3043152,0,273,10.222,34.42,0.211,0.5953
121,121,37.11079724,-122.3043128,0,464,16.025,33.487,0.295,0.7268
122,122,37.11106765,-122.3043103,0,552,17.988,33.924,0.275,0.7659
123,123,37.11133806,-122.3043078,0,523,17.215,34.04,0.154,0.6933
124,124,37.11160847,-122.3043054,0,464,16.453,32.542,0.178,0.653
125,125,37.11187887,-122.3043029,0,464,17.065,33.558,0.223,0.7128
126,126,37.11214928,-122.3043004,0,405,13.001,33.133,0.231,0.6272
127,127,37.11052485,-122.3039776,0,361,11.543,35.661,0.299,0.696
128,128,37.11079526,-122.3039751,0,494,14.348,33.958,0.168,0.6425
129,129,37.11106567,-122.3039727,0,552,11.147,34.986,0.131,0.5875
130,130,37.11133608,-122.3039702,0,523,20.164,33.928,0.164,0.7528
131,131,37.11160648,-122.3039677,0,479,14.255,33.744,0.118,0.6103
132,132,37.11187689,-122.3039652,0,450,13.639,35.471,0.177,0.671
133,133,37.1121473,-122.3039628,0,273,17.823,33.347,0.158,0.6898
134,134,37.11052287,-122.30364,0,420,22.885,34.202,0.307,0.8841
135,135,37.11079328,-122.3036375,0,494,10.419,33.921,0.159,0.5607
136,136,37.11106369,-122.303635,0,420,13.926,33.65,0.315,0.7001
137,137,37.11133409,-122.3036326,0,435,13.109,34.333,0.388,0.7188
138,138,37.1116045,-122.3036301,0,405,10.321,36.04,0.19,0.6272
139,139,37.11187491,-122.3036276,0,317,16.366,33.925,0.202,0.6979
140,140,37.11052089,-122.3033023,0,420,12.191,34.794,0.157,0.616
141,141,37.11079129,-122.3032999,0,464,11.024,35.369,0.179,0.6186
142,142,37.1110617,-122.3032974,0,420,18.176,35.215,0.256,0.7924
143,143,37.11133211,-122.3032949,0,450,18.39,33.809,0.223,0.7449
144,144,37.11160252,-122.3032924,0,361,14.101,33.605,0.176,0.6329
145,145,37.11078931,-122.3029622,0,435,12.49,34.102,0.203,0.6275
146,146,37.11105972,-122.3029598,0,464,21.803,35.016,0.169,0.8144
147,147,37.11133012,-122.3029573,0,477,10.758,32.715,0.257,0.5861
148,148,37.11160053,-122.3029548,0,360,17.906,34.339,0.188,0.7312
149,149,37.11078732,-122.3026246,0,242,17.221,34.952,0.184,0.7312
150,150,37.11105773,-122.3026221,0,479,9.332,33.647,0.233,0.5697
